0.000000	0.032000	F0
0.016000	0.048000	F1
0.032000	0.064000	F2
0.048000	0.080000	F3
0.064000	0.096000	F4
0.080000	0.112000	F5
0.096000	0.128000	F6
0.112000	0.144000	F7
0.128000	0.160000	F8
0.144000	0.176000	F9
0.160000	0.192000	F10
0.176000	0.208000	F11
0.192000	0.224000	F12
0.208000	0.240000	F13
0.224000	0.256000	F14
0.240000	0.272000	F15
0.256000	0.288000	F16
0.272000	0.304000	F17
0.288000	0.320000	F18
0.304000	0.336000	F19
0.320000	0.352000	F20
0.336000	0.368000	F21
0.352000	0.384000	F22
0.368000	0.400000	F23
0.384000	0.416000	F24
0.400000	0.432000	F25
0.416000	0.448000	F26
0.432000	0.464000	F27
0.448000	0.480000	F28
0.464000	0.496000	F29
0.480000	0.512000	F30
0.496000	0.528000	F31
0.512000	0.544000	F32
0.528000	0.560000	F33
0.544000	0.576000	F34
0.560000	0.592000	F35
0.576000	0.608000	F36
0.592000	0.624000	F37
0.608000	0.640000	F38
0.624000	0.656000	F39
0.640000	0.672000	F40
0.656000	0.688000	F41
0.672000	0.704000	F42
0.688000	0.720000	F43
0.704000	0.736000	F44
0.720000	0.752000	F45
0.736000	0.768000	F46
0.752000	0.784000	F47
0.768000	0.800000	F48
0.784000	0.816000	F49
0.800000	0.832000	F50
0.816000	0.848000	F51
0.832000	0.864000	F52
0.848000	0.880000	F53
0.864000	0.896000	F54
0.880000	0.912000	F55
0.896000	0.928000	F56
0.912000	0.944000	F57
0.928000	0.960000	F58
0.944000	0.976000	F59
0.960000	0.992000	F60
0.976000	1.008000	F61
